master_id,Recency,Frequency,Monetary,recency_score,frequency_score,monetary_score,RFM_SCORE,Segment,interested_in_categories_12
096b0208-aa41-11e9-a2fc-000d3a38a36f,59,12,2011.13,5,5,5,555,champions,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
09752d72-5bc7-11ea-b2fe-000d3a38a36f,55,5,599.42,5,4,3,543,champions,"[COCUK, KADIN]"
097c3906-2a75-11ea-b3a7-000d3a38a36f,53,17,3762.48,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0988a7a6-a7dd-11e9-a2fc-000d3a38a36f,159,12,1252.32,3,5,5,355,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
09a72af6-47c3-11ea-b6c0-000d3a38a36f,93,13,1680.02,4,5,5,455,loyal_customers,[KADIN]
09cf3c2e-9d43-11e9-9897-000d3a38a36f,65,10,1497.56,4,5,5,455,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0a0b04da-5bc9-11ea-b13c-000d3a38a36f,81,5,882.16,4,4,4,444,loyal_customers,"[COCUK, KADIN]"
0a0e9650-a5ac-11e9-a2fc-000d3a38a36f,79,7,1429.8,4,4,5,445,loyal_customers,"[COCUK, KADIN]"
0a1a5340-ad00-11e9-a2fc-000d3a38a36f,74,8,575.37,4,5,3,453,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0a802bd6-1a95-11ea-98d5-000d3a38a36f,117,5,605.27,3,4,3,343,loyal_customers,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
0ab4c6b4-ab2f-11e9-a2fc-000d3a38a36f,75,12,1725.48,4,5,5,455,loyal_customers,"[KADIN, AKTIFSPOR]"
0ad69060-ae21-11e9-a2fc-000d3a38a36f,111,5,925.96,4,4,4,444,loyal_customers,[KADIN]
0aecfbf0-278f-11eb-8a9b-000d3a38a36f,34,6,1116.26,5,4,5,545,champions,"[ERKEK, KADIN, AKTIFSPOR]"
0afe8f20-b173-11e9-89fa-000d3a38a36f,85,5,569.31,4,4,3,443,loyal_customers,"[ERKEK, KADIN]"
0b081d38-5baa-11ea-b2b6-000d3a38a36f,43,6,849.19,5,4,4,544,champions,[KADIN]
0b168a06-af18-11e9-a2fc-000d3a38a36f,103,6,2016.35,4,4,5,445,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0b49700a-aab4-11e9-a2fc-000d3a38a36f,52,13,2136.39,5,5,5,555,champions,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0b65fab8-b15d-11e9-89fa-000d3a38a36f,56,17,999.11,5,5,4,554,champions,[KADIN]
0b737a08-ae15-11e9-a2fc-000d3a38a36f,85,7,980.57,4,4,4,444,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN]"
0b804820-7028-11ea-b40c-000d3a38a36f,120,5,461.9,3,4,3,343,loyal_customers,"[ERKEK, KADIN]"
0ba1a728-2941-11ea-b87a-000d3a38a36f,55,5,854.8,5,4,4,544,champions,"[ERKEK, KADIN]"
0bb08a16-aca2-11e9-a2fc-000d3a38a36f,76,6,1170.59,4,4,5,445,loyal_customers,"[KADIN, AKTIFSPOR]"
0bc73304-9e3a-11e9-9897-000d3a38a36f,60,11,1253,5,5,5,555,champions,"[AKTIFCOCUK, COCUK, KADIN]"
0bfe064e-f047-11ea-bde9-000d3a38a36f,120,7,788.99,3,4,4,344,loyal_customers,"[AKTIFCOCUK, ERKEK, KADIN]"
0c2a123a-136a-11ea-a001-000d3a38a36f,34,10,984.68,5,5,4,554,champions,"[KADIN, AKTIFSPOR]"
0c303ca6-9e16-11e9-9897-000d3a38a36f,84,13,1460.68,4,5,5,455,loyal_customers,"[KADIN, AKTIFSPOR]"
0c4459cc-2d66-11ea-827e-000d3a38a36f,122,8,1527.64,3,5,5,355,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0c5720da-a3db-11e9-a2fc-000d3a38a36f,163,9,1221.88,3,5,5,355,loyal_customers,"[KADIN, AKTIFSPOR]"
0c7849ac-8bf4-11ea-8ec0-000d3a38a36f,60,7,2621.46,5,4,5,545,champions,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
0c79b570-ac99-11e9-a2fc-000d3a38a36f,161,14,908.83,3,5,4,354,loyal_customers,"[COCUK, KADIN]"
0c958672-f273-11e9-9346-000d3a38a36f,146,6,822.72,3,4,4,344,loyal_customers,"[ERKEK, KADIN]"
0cb22dc4-2331-11ea-8523-000d3a38a36f,86,6,527.93,4,4,3,443,loyal_customers,[KADIN]
0cb6fdb2-ab00-11e9-a2fc-000d3a38a36f,72,13,1821.4,4,5,5,455,loyal_customers,"[AKTIFCOCUK, ERKEK, COCUK, KADIN, AKTIFSPOR]"
0cd3f0a6-5ba0-11ea-a0eb-000d3a38a36f,102,9,1236.31,4,5,5,455,loyal_customers,"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]"
0ceced88-00bc-11eb-8341-000d3a38a36f,112,7,804.3,4,4,4,444,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0d0f0c2c-a77d-11e9-a2fc-000d3a38a36f,43,9,721.54,5,5,4,554,champions,"[ERKEK, KADIN, AKTIFSPOR]"
0d25e32a-a278-11e9-a2fc-000d3a38a36f,62,6,977.7,5,4,4,544,champions,[KADIN]
0d31dfe6-a18c-11e9-a2fc-000d3a38a36f,173,5,905.64,3,4,4,344,loyal_customers,"[KADIN, AKTIFSPOR]"
0d4db91e-2ef4-11ea-8467-000d3a38a36f,103,7,623.4,4,4,3,443,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
0d54e5e6-9de9-11e9-9897-000d3a38a36f,111,7,587.97,4,4,3,443,loyal_customers,[KADIN]
0da729c2-84df-11ea-80af-000d3a38a36f,50,5,487.15,5,4,3,543,champions,"[KADIN, AKTIFSPOR]"
0da99f9e-ad09-11e9-a2fc-000d3a38a36f,83,6,759.42,4,4,4,444,loyal_customers,"[KADIN, AKTIFSPOR]"
0dab5316-b394-11e9-a043-000d3a38a36f,57,6,968.15,5,4,4,544,champions,"[ERKEK, COCUK, KADIN]"
0db76982-1a12-11ea-941b-000d3a38a36f,39,5,908.16,5,4,4,544,champions,"[ERKEK, KADIN]"
0dca2b3a-9d8f-11e9-9897-000d3a38a36f,85,16,2002.3,4,5,5,455,loyal_customers,[KADIN]
0dd69f56-de16-11e9-957d-000d3a38a36f,41,14,3157.5,5,5,5,555,champions,"[ERKEK, COCUK, KADIN, AKTIFSPOR]"
0e34e260-27e4-11ea-a043-000d3a38a36f,110,6,1108.82,4,4,5,445,loyal_customers,"[KADIN, AKTIFSPOR]"
0e430d4e-a52c-11e9-a2fc-000d3a38a36f,102,6,1008.89,4,4,4,444,loyal_customers,[KADIN]
0e564fd2-d6f3-11e9-93bc-000d3a38a36f,90,13,2135.49,4,5,5,455,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0e8c7b30-ac18-11e9-a2fc-000d3a38a36f,156,48,8617.32,3,5,5,355,loyal_customers,"[AKTIFCOCUK, COCUK, KADIN, AKTIFSPOR]"
0eb20300-adad-11e9-a2fc-000d3a38a36f,167,6,480.82,3,4,3,343,loyal_customers,"[KADIN, AKTIFSPOR]"
0ec13106-5bb1-11ea-a359-000d3a38a36f,37,6,1010.51,5,4,4,544,champions,"[KADIN, AKTIFSPOR]"
0ef16940-a10b-11e9-a2fc-000d3a38a36f,85,8,577.14,4,5,3,453,loyal_customers,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
0f3fe932-c679-11ea-9bc9-000d3a38a36f,151,6,583.66,3,4,3,343,loyal_customers,"[ERKEK, KADIN]"
0f522b7e-1edb-11ea-81ff-000d3a38a36f,156,6,319.94,3,4,2,342,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
0f5e28ac-6e36-11ea-a8bb-000d3a38a36f,169,5,736.88,3,4,4,344,loyal_customers,"[ERKEK, KADIN]"
0f684644-2853-11ea-b87a-000d3a38a36f,165,5,545.94,3,4,3,343,loyal_customers,"[ERKEK, COCUK, KADIN]"
0fa34bd2-a38c-11e9-a2fc-000d3a38a36f,140,8,852.28,3,5,4,354,loyal_customers,"[KADIN, AKTIFSPOR]"
0fc6e4a4-9f98-11e9-a2fc-000d3a38a36f,115,10,910.86,3,5,4,354,loyal_customers,"[AKTIFCOCUK, KADIN, AKTIFSPOR]"
0fd0bccc-1199-11ea-846f-000d3a38a36f,121,6,1336.41,3,4,5,345,loyal_customers,"[COCUK, KADIN, AKTIFSPOR]"
0fdb0040-a97c-11e9-a2fc-000d3a38a36f,140,24,3653.57,3,5,5,355,loyal_customers,"[ERKEK, KADIN, AKTIFSPOR]"
0fdf4ad8-9e46-11e9-9897-000d3a38a36f,81,5,692.86,4,4,4,444,loyal_customers,"[ERKEK, COCUK, KADIN]"
